Time resolution is 1 ps

=== Subtractor mode (Cin=1, B inverted) : A - B (256 cases) ===
SUB  A=1100 B=1100 Cin=1 -> DUT{1,0000}  EXP{1,0000}  PASS
SUB  A=1101 B=1100 Cin=1 -> DUT{1,0001}  EXP{1,0001}  PASS
SUB  A=1110 B=1100 Cin=1 -> DUT{1,0010}  EXP{1,0010}  PASS
SUB  A=1111 B=1100 Cin=1 -> DUT{1,0011}  EXP{1,0011}  PASS
SUB  A=0000 B=1101 Cin=1 -> DUT{0,0011}  EXP{0,0011}  PASS
SUB  A=0001 B=1101 Cin=1 -> DUT{0,0100}  EXP{0,0100}  PASS
SUB  A=0010 B=1101 Cin=1 -> DUT{0,0101}  EXP{0,0101}  PASS
SUB  A=0011 B=1101 Cin=1 -> DUT{0,0110}  EXP{0,0110}  PASS
SUB  A=0100 B=1101 Cin=1 -> DUT{0,0111}  EXP{0,0111}  PASS
SUB  A=0101 B=1101 Cin=1 -> DUT{0,1000}  EXP{0,1000}  PASS
SUB  A=0110 B=1101 Cin=1 -> DUT{0,1001}  EXP{0,1001}  PASS
SUB  A=0111 B=1101 Cin=1 -> DUT{0,1010}  EXP{0,1010}  PASS
SUB  A=1000 B=1101 Cin=1 -> DUT{0,1011}  EXP{0,1011}  PASS
SUB  A=1001 B=1101 Cin=1 -> DUT{0,1100}  EXP{0,1100}  PASS
SUB  A=1010 B=1101 Cin=1 -> DUT{0,1101}  EXP{0,1101}  PASS
SUB  A=1011 B=1101 Cin=1 -> DUT{0,1110}  EXP{0,1110}  PASS
SUB  A=1100 B=1101 Cin=1 -> DUT{0,1111}  EXP{0,1111}  PASS
SUB  A=1101 B=1101 Cin=1 -> DUT{1,0000}  EXP{1,0000}  PASS
SUB  A=1110 B=1101 Cin=1 -> DUT{1,0001}  EXP{1,0001}  PASS
SUB  A=1111 B=1101 Cin=1 -> DUT{1,0010}  EXP{1,0010}  PASS
SUB  A=0000 B=1110 Cin=1 -> DUT{0,0010}  EXP{0,0010}  PASS
SUB  A=0001 B=1110 Cin=1 -> DUT{0,0011}  EXP{0,0011}  PASS
SUB  A=0010 B=1110 Cin=1 -> DUT{0,0100}  EXP{0,0100}  PASS
SUB  A=0011 B=1110 Cin=1 -> DUT{0,0101}  EXP{0,0101}  PASS
SUB  A=0100 B=1110 Cin=1 -> DUT{0,0110}  EXP{0,0110}  PASS
SUB  A=0101 B=1110 Cin=1 -> DUT{0,0111}  EXP{0,0111}  PASS
SUB  A=0110 B=1110 Cin=1 -> DUT{0,1000}  EXP{0,1000}  PASS
SUB  A=0111 B=1110 Cin=1 -> DUT{0,1001}  EXP{0,1001}  PASS
SUB  A=1000 B=1110 Cin=1 -> DUT{0,1010}  EXP{0,1010}  PASS
SUB  A=1001 B=1110 Cin=1 -> DUT{0,1011}  EXP{0,1011}  PASS
SUB  A=1010 B=1110 Cin=1 -> DUT{0,1100}  EXP{0,1100}  PASS
SUB  A=1011 B=1110 Cin=1 -> DUT{0,1101}  EXP{0,1101}  PASS
SUB  A=1100 B=1110 Cin=1 -> DUT{0,1110}  EXP{0,1110}  PASS
SUB  A=1101 B=1110 Cin=1 -> DUT{0,1111}  EXP{0,1111}  PASS
SUB  A=1110 B=1110 Cin=1 -> DUT{1,0000}  EXP{1,0000}  PASS
SUB  A=1111 B=1110 Cin=1 -> DUT{1,0001}  EXP{1,0001}  PASS
SUB  A=0000 B=1111 Cin=1 -> DUT{0,0001}  EXP{0,0001}  PASS
SUB  A=0001 B=1111 Cin=1 -> DUT{0,0010}  EXP{0,0010}  PASS
SUB  A=0010 B=1111 Cin=1 -> DUT{0,0011}  EXP{0,0011}  PASS
SUB  A=0011 B=1111 Cin=1 -> DUT{0,0100}  EXP{0,0100}  PASS
SUB  A=0100 B=1111 Cin=1 -> DUT{0,0101}  EXP{0,0101}  PASS
SUB  A=0101 B=1111 Cin=1 -> DUT{0,0110}  EXP{0,0110}  PASS
SUB  A=0110 B=1111 Cin=1 -> DUT{0,0111}  EXP{0,0111}  PASS
SUB  A=0111 B=1111 Cin=1 -> DUT{0,1000}  EXP{0,1000}  PASS
SUB  A=1000 B=1111 Cin=1 -> DUT{0,1001}  EXP{0,1001}  PASS
SUB  A=1001 B=1111 Cin=1 -> DUT{0,1010}  EXP{0,1010}  PASS
SUB  A=1010 B=1111 Cin=1 -> DUT{0,1011}  EXP{0,1011}  PASS
SUB  A=1011 B=1111 Cin=1 -> DUT{0,1100}  EXP{0,1100}  PASS
SUB  A=1100 B=1111 Cin=1 -> DUT{0,1101}  EXP{0,1101}  PASS
SUB  A=1101 B=1111 Cin=1 -> DUT{0,1110}  EXP{0,1110}  PASS
SUB  A=1110 B=1111 Cin=1 -> DUT{0,1111}  EXP{0,1111}  PASS
SUB  A=1111 B=1111 Cin=1 -> DUT{1,0000}  EXP{1,0000}  PASS
$finish called at time : 256 ns : File "C:/Users/kotas/Downloads/Sid Stuff/SJSUWork/CMPE 124/Lab 2/CMPE124-Lab2/CMPE124-Lab2.srcs/sim_1/new/tb3.v" Line 68
